iteration,loss
1,8.801314353942871
2,6.092687129974365
3,8.223685264587402
4,6.7867817878723145
5,5.93134880065918
6,9.555476188659668
7,7.419832706451416
8,8.447452545166016
9,5.718563556671143
10,6.230501174926758
11,5.329030990600586
12,9.45783519744873
13,6.42701530456543
14,8.683121681213379
15,7.789656639099121
16,6.80539608001709
17,6.948230743408203
18,7.642691612243652
19,7.167077541351318
20,8.816584587097168
21,6.077612400054932
22,8.410274505615234
23,6.7982306480407715
24,5.81356954574585
25,9.560775756835938
26,7.0938520431518555
27,8.449301719665527
28,5.84489631652832
29,6.194868564605713
30,5.324315071105957
31,9.451385498046875
32,6.430343151092529
33,8.776029586791992
34,7.806660175323486
35,6.7668280601501465
36,7.017906665802002
37,7.811792850494385
38,7.084280014038086
39,8.780343055725098
40,6.033097743988037
41,8.267523765563965
42,6.771462917327881
43,5.803701400756836
44,9.552103042602539
45,7.034988880157471
46,8.459078788757324
47,5.959281921386719
48,6.164910793304443
49,5.399448871612549
50,9.425153732299805
51,6.365517616271973
52,8.629305839538574
53,7.767759799957275
54,6.75182580947876
55,6.958629608154297
56,7.761685371398926
57,7.077256202697754
58,8.771930694580078
59,6.015585899353027
60,8.216933250427246
61,6.748192310333252
62,5.7989501953125
63,9.518363952636719
64,7.071804046630859
65,8.427644729614258
66,5.861663818359375
67,6.149602890014648
68,5.339613437652588
69,9.417619705200195
70,6.357133865356445
71,8.643922805786133
72,7.756757736206055
73,6.728363037109375
74,6.9369730949401855
75,7.749279022216797
76,7.068915367126465
77,8.764381408691406
78,6.003540992736816
79,8.241575241088867
80,6.736794471740723
81,5.784970283508301
82,9.505559921264648
83,7.048098087310791
84,8.415630340576172
85,5.847311496734619
86,6.130961894989014
87,5.314455509185791
88,9.407684326171875
89,6.341791152954102
90,8.647261619567871
91,7.745694160461426
92,6.704059600830078
93,6.923910140991211
94,7.760074615478516
95,7.051984786987305
96,8.756373405456543
97,5.987411975860596
98,8.231826782226562
99,6.721766471862793
100,5.773919582366943
101,9.489489555358887
102,7.032661437988281
103,8.402336120605469
104,5.833364486694336
105,6.112075328826904
106,5.295654296875
107,9.396488189697266
108,6.321720123291016
109,8.634613037109375
110,7.731500625610352
111,6.681469917297363
112,6.903265476226807
113,7.758963108062744
114,7.0381083488464355
115,8.749053955078125
116,5.972012519836426
117,8.22419261932373
118,6.706577301025391
119,5.763525009155273
120,9.47219467163086
121,7.023251533508301
122,8.38672161102295
123,5.808238983154297
124,6.094250202178955
125,5.270103931427002
126,9.385963439941406
127,6.304232597351074
128,8.629185676574707
129,7.718317031860352
130,6.658449172973633
131,6.883882999420166
132,7.759216785430908
133,7.0243239402771
134,8.742237091064453
135,5.95708703994751
136,8.22095012664795
137,6.692128658294678
138,5.752906799316406
139,9.455992698669434
140,7.011534214019775
141,8.371720314025879
142,5.78629207611084
143,6.076453685760498
144,5.245698928833008
145,9.375286102294922
146,6.286642551422119
147,8.624098777770996
148,7.705253601074219
149,6.635405540466309
150,6.865163803100586
151,7.761221408843994
152,7.010096549987793
153,8.735758781433105
154,5.942103385925293
155,8.216596603393555
156,6.677694797515869
157,5.74261999130249
158,9.439913749694824
159,7.000361442565918
160,8.356633186340332
161,5.764679431915283
162,6.058852672576904
163,5.2217864990234375
164,9.36453628540039
165,6.268866539001465
166,8.618468284606934
167,7.692093372344971
168,6.612541198730469
169,6.846198558807373
170,7.763114929199219
171,6.996048927307129
172,8.729750633239746
173,5.927300453186035
174,8.212575912475586
175,6.66341495513916
176,5.7326202392578125
177,9.42396354675293
178,6.989986896514893
179,8.34135627746582
180,5.742406368255615
181,6.041566371917725
182,5.197562217712402
183,9.353873252868652
184,6.251353740692139
185,8.613492012023926
186,7.6790690422058105
187,6.589791774749756
188,6.827390670776367
189,7.765331745147705
190,6.982146263122559
191,8.724230766296387
192,5.912728786468506
193,8.209264755249023
194,6.649378776550293
195,5.722855091094971
196,9.40829086303711
197,6.979944229125977
198,8.326087951660156
199,5.720150947570801
200,6.0245513916015625
201,5.173369407653809
202,9.343316078186035
203,6.2340474128723145
204,8.608987808227539
205,7.666197299957275
206,6.567187786102295
207,6.808798313140869
208,7.767971992492676
209,6.96836519241333
210,8.719193458557129
211,5.898373603820801
212,8.20640754699707
213,6.635565757751465
214,5.713339805603027
215,9.392867088317871
216,6.970298767089844
217,8.310861587524414
218,5.697919845581055
219,6.007823467254639
220,5.150327205657959
221,9.33236026763916
222,6.2158989906311035
223,8.602714538574219
224,7.652825355529785
225,6.545037269592285
226,6.789597034454346
227,7.771385192871094
228,6.954628944396973
229,8.715414047241211
230,5.884420871734619
231,8.203558921813965
232,6.622179985046387
233,5.704988479614258
234,9.378386497497559
235,6.962498188018799
236,8.29474925994873
237,5.676747798919678
238,5.992462635040283
239,5.12653112411499
240,9.321273803710938
241,6.199057579040527
242,8.601250648498535
243,7.640233039855957
244,6.522859573364258
245,6.771938800811768
246,7.777804851531982
247,6.940667152404785
248,8.712760925292969
249,5.87103271484375
250,8.203218460083008
251,6.609471321105957
252,5.697177410125732
253,9.36441421508789
