epoch,loss,loss_theta,loss_z
1,7.339878910466244,2.081151742684214,4.094892319880034
2,7.343658271588777,2.0565772182063053,4.109442554022136
3,7.313846061104222,2.044478171750119,4.091766871904072
4,7.293644729413484,2.0471876545956262,4.077035000449733
5,7.2829336869089225,2.0429942984330025,4.071832650586178
6,7.2685793826454566,2.0397167143068815,4.063307586469148
7,7.254404946377403,2.0373263108102897,4.054638461062782
8,7.240851050929019,2.0347894492902254,4.046460151672363
9,7.227308875636051,2.0324085699884513,4.0381915067371565
10,7.213944861763402,2.0302199062548185,4.029957658366153
11,7.20082762366847,2.0281621280469393,4.021831292855112
12,7.187759248833907,2.026229971333554,4.013666378824334
13,7.175632803063643,2.0252063023416618,4.005683020541542
14,7.163915257704885,2.0243869643462333,3.997890735927381
15,7.152565981212415,2.023663489442123,3.9903153369301245
16,7.1415737804613615,2.023006953691181,3.9829538935109188
17,7.130932556955438,2.02241923934535,3.975799478982624
18,7.120659903476112,2.021919049714741,3.96885851809853
19,7.110795046153822,2.0215115547180176,3.9621567224201404
20,7.101317305313914,2.021177392256887,3.9556842163989416
21,7.09222738366378,2.02092036448027,3.949442248595388
22,7.083541945407265,2.0207352324535974,3.94344773418025
23,7.075255544562089,2.020609661152488,3.9377021601325586
24,7.067350487960012,2.0205337624800834,3.9321981354763635
25,7.059806773537083,2.0204963495856836,3.9269273030130485
26,7.052605428193745,2.020484673349481,3.921883175247594
27,7.04571909653513,2.0204824083729793,3.9170551237307096
28,7.039118892268131,2.0204715666018034,3.912432413352163
29,7.03276905260588,2.020432102052789,3.9080006009653996
30,7.026628720132928,2.020338491389626,3.9037439383958517
31,7.02065204319201,2.020166648061652,3.899643766252618
32,7.0148213537115796,2.0198293171430888,3.8957283183148035
33,7.008983411287007,2.0193333625793457,3.891887194231937
34,7.0030926654213355,2.018677880889491,3.88809481420015
35,6.997107054057874,2.017824022393478,3.8843420492975334
36,6.990896877489592,2.0167099174700285,3.880565888003299
37,6.984434278387773,2.0153207841672396,3.8767605518039905
38,6.977642310293097,2.013593918398807,3.8729027321464136
39,6.970457880120528,2.0114953329688623,3.8689678342718827
40,6.962823792507774,2.008990821085478,3.86493402405789
41,6.9546819486116105,2.0060522619046663,3.8607750064448307
42,6.94600584632472,2.0026574511277047,3.8564833904567517
43,6.936765168842516,1.9988046068894236,3.8520382391779044
44,6.926933589734529,1.9945134489159835,3.8474102898647913
45,6.916528124558298,1.9898146328173185,3.842596254850689
46,6.905586242675781,1.9847463432111239,3.8376021573418067
47,6.89414842505204,1.9793541619652195,3.8324316489069084
48,6.88226644616378,1.9736923732255633,3.827092741665087
49,6.869995393251118,1.96781545563748,3.821594897069429
50,6.85739823391563,1.9617787474080135,3.815953116667898
51,6.844591015263608,1.9556116555866443,3.8102320558146427
52,6.8315454031291765,1.9493671153721057,3.8043830959420455
53,6.818183924022474,1.9431111938075016,3.798314885089272
54,6.8046753281041195,1.9368948560012014,3.7921265551918433
55,6.791056356931987,1.9307315161353664,3.7858345320350244
56,6.777325278834293,1.9246380893807662,3.7794269511574194
57,6.7635312582317155,1.9186331535640515,3.7729303460372123
58,6.749701525035658,1.9127239177101536,3.7663593480461524
59,6.735838839882298,1.9069139769202785,3.7597142834412423
60,6.721948673850612,1.9012023461492438,3.752999274354232
61,6.708040915037456,1.89559090764899,3.74622022478204
62,6.69412364457783,1.8900764364945262,3.7393844755072343
63,6.680203237031636,1.8846556199224371,3.7324982756062557
64,6.666284485867149,1.8793234134975232,3.725567253012406
65,6.652378458725779,1.8740746222044293,3.7186019797074166
66,6.638499887366044,1.8689014786168148,3.7116167294351676
67,6.624610925975599,1.8637957384711819,3.7045880054172717
68,6.6107345882215,1.8587619191721867,3.697531449167352
69,6.596876194602565,1.853793690079137,3.6904538305182206
70,6.583036949760036,1.8488851032759015,3.6833583743948686
71,6.569245037279631,1.8440407263605219,3.6762634453020597
72,6.555485499532599,1.8392466871361983,3.669163465499878
73,6.541796358008134,1.8344985748592175,3.662087239717182
74,6.528160572052002,1.8297949903889705,3.6550230603469047
75,6.514575456318102,1.825141480094508,3.647967118965952
76,6.501054788890638,1.82053804397583,3.640929705218265
77,6.487616338227925,1.815981902574238,3.633924308576082
78,6.474241884131181,1.8114722402472245,3.6269380481619584
79,6.460935893811677,1.8070095714769865,3.6199742994810404
80,6.447703135640998,1.8025949565987838,3.6130361431523372
81,6.434548177217183,1.7982283893384432,3.6061263147153353
82,6.421472198084781,1.7939090916984959,3.5992459937145838
83,6.408479289004677,1.789638832995766,3.59239745767493
84,6.395569437428525,1.7854161764446057,3.5855809826599923
85,6.3827462447317025,1.7812429101843583,3.5787985764051737
86,6.370012270776849,1.7771184569910954,3.572052234097531
87,6.357357614918759,1.7730365928850675,3.565335857240777
88,6.344762162158363,1.76900221172132,3.5586331706298027
89,6.3322211190273885,1.7650191909388493,3.551939945471914
90,6.319746770356831,1.7610913766057867,3.5452632339377153
91,6.307324949063752,1.757193879077309,3.5386017623700594
92,6.294880854456048,1.7533341332485801,3.531899797288995
93,6.28244538056223,1.7495283390346326,3.525173595077113
94,6.2700854853579875,1.74578216828798,3.518469954791822
95,6.257824195058722,1.742089685640837,3.511807397792214
96,6.2455903103477075,1.7384354629014667,3.505140448871412
97,6.2334075852444295,1.734823659846657,3.498482453195672
98,6.221308595255802,1.731258091173674,3.4918553264517533
99,6.209260639391448,1.7277267543893111,3.4852415762449565
100,6.197273944553576,1.724206102521796,3.4786543532421716
101,6.1852847902398365,1.7207425895490145,3.472031750177082
102,6.173394328669498,1.7173604149567454,3.4654353794298673
103,6.161625611154657,1.714058650167365,3.45888184246264
104,6.149972689779181,1.71083076376664,3.4523698028765226
105,6.138427571246498,1.7076730288957294,3.445895471070942
106,6.126979627107319,1.7045819571143703,3.439453457531176
107,6.115620236647756,1.701547189762718,3.4330412714104903
108,6.104335609235261,1.6985660791397095,3.426650517865231
109,6.0931297979856796,1.6956474530069452,3.42028104004107
110,6.082014824214735,1.6927895608701204,3.4139413017975655
111,6.070964085428338,1.6899912357330322,3.4076139174009623
112,6.059987934012162,1.687256838146009,3.401304194801732
113,6.049089896051507,1.684585307773791,3.3950153087314807
114,6.038265341206601,1.6819756031036377,3.388744404441432
115,6.027532502224571,1.6794287593741166,3.3825045949534367
116,6.01687458941811,1.676938577702171,3.376285716107017
117,6.006237180609452,1.6744924281772815,3.3700533352400126
118,5.995629938025224,1.672104471608212,3.3638113046947278
119,5.985102189214606,1.6697754107023541,3.3575949543400814
120,5.974595534174066,1.6674985822878385,3.3513631067777934
121,5.964135659368415,1.6652817161459672,3.345131980745416
122,5.953741675929019,1.6631274286069369,3.338913578736155
123,5.9434060924931575,1.6610325135682757,3.332703803714953
124,5.93312668800354,1.6589959922589754,3.3265019027810347
125,5.922909109215987,1.6570191383361816,3.320311113407737
126,5.912752000909102,1.6550996491783543,3.314131818319622
127,5.902655275244462,1.6532381396544606,3.307963546953703
128,5.892600724571629,1.6514264219685604,3.3017959155534444
129,5.8825544432589885,1.6496435090115196,3.2956122975600395
130,5.872499302813881,1.6479016542434692,3.2894007218511483
131,5.862531411020379,1.6462199311507375,3.2832190676739343
132,5.852637780340094,1.6445925486715216,3.2770599503266182
133,5.842809539092214,1.6430170159590871,3.2709188775012366
134,5.833047189210591,1.641497015953064,3.2647937661723088
135,5.823340365761204,1.6400211610292132,3.2586842461636194
136,5.813692368959126,1.6386183374806453,3.252575955892864
137,5.804132373709428,1.6372456927048533,3.246516980622944
138,5.794528584731252,1.6359795896630538,3.240364156271282
139,5.78499258191962,1.6348900732241178,3.2341670111605993
140,5.77685556913677,1.6340775176098472,3.228884320510061
141,5.7675457126215885,1.6326269538779008,3.222966043572677
142,5.757171492827566,1.6312033251712197,3.2163276295912895
143,5.7476914556402905,1.6301230129442716,3.2101682738253943
144,5.738601960633931,1.6291649467066716,3.2042144536972046
