feature,weight
I1_lin,-0.00000000e+00
I1_exp,-0.00000000e+00
I1_quad_lin,-0.00000000e+00
I1_quad_exp,1.08518124e-01
I2_lin,4.14412767e-01
I2_exp,1.74206555e+00
I2_quad_lin,4.14412707e-01
I2_quad_exp,1.10295451e+00
I4theta_lin,-0.00000000e+00
I4theta_exp,-0.00000000e+00
I4theta_quad_lin,-0.00000000e+00
I4theta_quad_exp,-0.00000000e+00
I4z_lin,1.09558076e-01
I4z_exp,8.96089375e-02
I4z_quad_lin,-0.00000000e+00
I4z_quad_exp,4.67476279e-01
I4a_lin,1.40548599e+00
I4a_exp,-0.00000000e+00
I4a_quad_lin,0.00000000e+00
I4a_quad_exp,-0.00000000e+00
I4b_lin,0.00000000e+00
I4b_exp,-0.00000000e+00
I4b_quad_lin,2.50556184e-07
I4b_quad_exp,-0.00000000e+00
