epoch,loss,loss_theta,loss_z
1,63.248540197099956,36.73846646717617,26.064535754067556
2,64.30346243722099,38.6225266456604,24.84565598624093
3,62.88492556980678,36.948433944157195,25.111094849450247
4,62.701308795384,36.8616360936846,25.09688643046788
5,63.00185135432652,36.97319180624826,25.302570274897985
6,61.90788241795131,36.14429187774658,25.114967278071813
7,61.611376898629324,36.039202962602886,24.90062117576599
8,61.78317410605295,36.431511470249724,24.662216595241002
9,61.309922218322754,36.09467990057809,24.542207104819163
10,62.209080014910015,37.17449222292219,24.32731328691755
11,60.933532987322124,35.43414354324341,24.832747970308578
12,60.976284163338796,35.454061780657085,24.867751496178762
13,60.96867724827358,35.58080244064331,24.739961794444493
14,60.95040007999965,35.61936221803938,24.684749262673513
15,60.94438144138881,35.67088576725551,24.626913206917898
16,60.721453530447825,35.47323233740671,24.618211030960083
17,60.7244028363909,35.341231959206716,24.75647234916687
18,60.72539397648403,35.46202039718628,24.637118203299387
19,60.71410996573312,35.422436646052766,24.664874792099
20,60.71122646331787,35.43677418572562,24.646883589880808
21,60.62526321411133,35.445554801395964,24.560149329049246
22,60.61361013139997,35.394836630140034,24.59901247705732
23,60.60825933728899,35.39109883989607,24.59680257524763
24,60.60339805058071,35.39918804168701,24.583258969443186
25,60.59838063376291,35.40640810557774,24.57044948850359
26,60.558340890066965,35.41110536030361,24.52912712097168
27,60.556305340358186,35.41529444285801,24.52262885229928
28,60.5542962210519,35.41874776567732,24.516897201538086
29,60.55231721060617,35.42201607567923,24.511380774634226
30,60.550354276384624,35.42517893654959,24.505989585603988
31,60.53142166137695,35.426021916525706,24.487964459827968
32,60.53049155644008,35.42751400811331,24.485416344233922
33,60.52957466670445,35.428803307669504,24.483083384377615
34,60.528673716953826,35.430112157549175,24.48074800627572
35,60.52777671813965,35.43143047605242,24.478405952453613
36,60.51851218087332,35.43127318790981,24.470184598650253
37,60.518065861293245,35.43186610085623,24.469085591179983
38,60.5176271711077,35.432428564344136,24.468023436410085
39,60.51719733646938,35.43300526482718,24.466954231262207
40,60.51676082611084,35.43358475821359,24.465878214154923
41,60.51217760358538,35.433370522090364,24.46195353780474
42,60.51196220942906,35.433684076581685,24.461394820894515
43,60.511751311165945,35.43398714065552,24.460849251065934
44,60.5115385055542,35.434291294642854,24.460301773888723
45,60.51132665361677,35.43459939956665,24.459751265389578
46,60.50963265555246,35.4346068246024,24.45820140838623
47,60.509498596191406,35.43480641501291,24.457848037992203
48,60.509367261614116,35.435007776532856,24.45749613216945
49,60.50923102242606,35.43520654950823,24.457141739981516
50,60.50909941537039,35.43541445050921,24.4567837033953
51,60.508966309683665,35.43561588014875,24.45642880031041
52,60.508839062282014,35.4358229637146,24.456075395856583
53,60.50870745522635,35.43602221352713,24.455724579947336
54,60.50857434953962,35.436222893851145,24.455371413912093
55,60.508446148463655,35.436426298958914,24.455020257404872
56,60.50831481388637,35.43662439073835,24.454670940126693
57,60.508182116917204,35.436822346278596,24.454321111951554
58,60.50805446079799,35.43702575138637,24.453970398221696
59,60.50792040143694,35.43722547803606,24.453616414751327
60,60.50778933933803,35.437433106558665,24.453259127480642
61,60.50766372680664,35.437644958496094,24.452901329313004
62,60.50752912248884,35.43785197394235,24.452541283198766
63,60.507403237479075,35.438063212803435,24.452183893748693
64,60.507272720336914,35.438271454402376,24.451826061521256
65,60.50713947841099,35.43847574506487,24.451469659805298
66,60.5070150920323,35.43868718828474,24.45111325808934
67,60.50688661847796,35.43889699663435,24.45075535774231
68,60.50675351279123,35.43910639626639,24.450393983295985
69,60.50662708282471,35.439321109226775,24.450032302311488
70,60.506501061575754,35.43954018184117,24.44966847555978
71,60.50637435913086,35.439758573259624,24.449303320475988
72,60.50624207087925,35.439969948359895,24.448941503252303
73,60.506119183131624,35.44019045148577,24.44857726778303
74,60.50599520547049,35.440412861960276,24.448211533682688
75,60.505865642002654,35.44063002722604,24.447845152446202
76,60.50573716844831,35.44084773744856,24.44747965676444
77,60.50561073848179,35.44106694630214,24.447114842278616
78,60.50548512595041,35.4412841115679,24.446751390184676
79,60.50535937717983,35.44150134495327,24.446388823645457
80,60.505232266017366,35.441716466631206,24.446026938302175
81,60.50510583605085,35.44193049839565,24.445667675563268
82,60.504978043692454,35.44214391708374,24.445306743894303
83,60.50485215868269,35.442361218588694,24.444944279534475
84,60.5047276360648,35.4425767489842,24.444584335599625
85,60.50459997994559,35.44279255185808,24.444221871239797
86,60.50447218758719,35.44300692422049,24.443860258374894
87,60.504345757620676,35.443222522735596,24.443498543330602
88,60.50421987261091,35.44343832560948,24.443137339183263
89,60.504096439906526,35.44365685326712,24.44277569225856
90,60.50397327968052,35.443874154772075,24.4424158845629
91,60.50384194510324,35.444082260131836,24.44205675806318
92,60.503720555986675,35.44430044719151,24.4416983127594
93,60.503595215933665,35.444514002118794,24.441340276173182
94,60.50346633366176,35.44472142628261,24.440983295440674
95,60.503343037196565,35.4449337550572,24.440628937312535
96,60.50321742466518,35.445146220070974,24.44027090072632
97,60.503089496067595,35.445354325430735,24.439914771488734
98,60.50296361105783,35.44556556429182,24.439559050968715
99,60.502836091177805,35.44577305657523,24.439204386302404
100,60.5027163369315,35.44598715645926,24.43885142462594
101,60.502590724400115,35.44619880403791,24.438495635986328
102,60.50246606554304,35.446409293583464,24.438140187944686
103,60.50233963557652,35.44662121364048,24.43778235571725
104,60.50221715654646,35.44683728899275,24.437423501695907
105,60.502094405038015,35.44705411366054,24.43706410271781
106,60.50197124481201,35.44727284567697,24.43670415878296
107,60.501849855695454,35.447494643075125,24.436340808868408
108,60.50172315325056,35.44770772116525,24.435981614249094
109,60.501600537981304,35.44792400087629,24.435622726167953
110,60.501478467668804,35.44814191545759,24.435264144624984
111,60.50135980333601,35.44836289542062,24.434904541288102
112,60.50122969491141,35.448572976248606,24.434545823505946
113,60.501110894339426,35.448790550231934,24.43418972832816
114,60.500986507960725,35.449001448495046,24.433834382465907
115,60.50086620875767,35.44921466282436,24.43348135266985
116,60.50073896135603,35.44942154203142,24.43312873159136
117,60.5006160736084,35.44963019234793,24.432778120040894
118,60.500496591840474,35.44984109061105,24.432426725115096
119,60.50037384033203,35.450053691864014,24.43207287788391
120,60.50024904523577,35.45026193346296,24.431720086506434
121,60.50012820107596,35.45047460283552,24.431367806025914
122,60.50000640324184,35.4506846836635,24.43101736477443
123,60.49988515036447,35.45089667184012,24.430664539337158
124,60.49976362500872,35.45111090796335,24.430309057235718
125,60.49964387076242,35.45133107049124,24.429949249540055
126,60.4995242527553,35.451553685324534,24.429587500435964
127,60.499402454921174,35.45177282605852,24.42922694342477
128,60.49928310939244,35.451993806021555,24.42886710166931
129,60.49915899549212,35.45221185684204,24.428505318505422
130,60.499039786202566,35.45243665150234,24.428143330982753
131,60.4989207131522,35.45265579223633,24.427784817559377
132,60.49879946027483,35.452874592372346,24.427425112043107
133,60.49868256705148,35.45309257507324,24.427070345197404
134,60.49855967930385,35.453307560511995,24.426714045660837
135,60.49844292231968,35.453522954668315,24.426362207957677
136,60.498322759355815,35.45373453412737,24.426011153629847
137,60.498199462890625,35.45394304820469,24.425660167421615
138,60.49807916368757,35.45415381022862,24.425310237067087
139,60.497962542942595,35.454366615840364,24.4249621459416
140,60.49783979143415,35.45457295009068,24.42461350985936
