feature,weight
I1_lin,1.21286578e-01
I1_exp,3.44088852e-01
I1_quad_lin,1.19296539e+00
I1_quad_exp,9.95701551e-01
I2_lin,6.70681477e-01
I2_exp,3.46944898e-01
I2_quad_lin,8.14092517e-01
I2_quad_exp,1.09503128e-01
I4theta_lin,3.88303488e-01
I4theta_exp,2.17191249e-01
I4theta_quad_lin,1.90312117e-01
I4theta_quad_exp,6.59976900e-02
I4z_lin,2.94675529e-02
I4z_exp,9.91925895e-02
I4z_quad_lin,-0.00000000e+00
I4z_quad_exp,4.85990345e-02
I4a_lin,7.88938463e-01
I4a_exp,6.52220905e-01
I4a_quad_lin,7.83311903e-01
I4a_quad_exp,2.00038269e-01
I4b_lin,1.22641528e+00
I4b_exp,3.76056969e-01
I4b_quad_lin,1.23332989e+00
I4b_quad_exp,1.28906369e-01
