feature,weight
I1_lin,6.03526175e-01
I1_exp,4.42209452e-01
I1_quad_lin,6.03525937e-01
I1_quad_exp,1.27507246e+00
I2_lin,7.04312399e-02
I2_exp,3.60517770e-01
I2_quad_lin,1.94497537e-02
I2_quad_exp,5.36252931e-02
I4theta_lin,2.61787683e-01
I4theta_exp,3.87854278e-02
I4theta_quad_lin,-0.00000000e+00
I4theta_quad_exp,1.51076645e-01
I4z_lin,-0.00000000e+00
I4z_exp,2.63848394e-01
I4z_quad_lin,2.61879265e-02
I4z_quad_exp,-0.00000000e+00
I4a_lin,-0.00000000e+00
I4a_exp,8.54489386e-01
I4a_quad_lin,1.65416181e+00
I4a_quad_exp,3.49110901e-01
I4b_lin,-0.00000000e+00
I4b_exp,7.23056197e-01
I4b_quad_lin,1.74528444e+00
I4b_quad_exp,3.84928256e-01
