iteration,loss
1,707.0548706054688
2,690.541015625
3,860.0924072265625
4,700.2255249023438
5,527.3714599609375
6,655.4714965820312
7,547.3087768554688
8,845.9072265625
9,668.990478515625
10,830.9754638671875
11,762.6529541015625
12,719.7222290039062
13,505.32037353515625
14,839.5958251953125
15,738.8232421875
16,593.6466064453125
17,615.7379150390625
18,787.5068969726562
19,607.4466552734375
20,550.427001953125
21,807.6832275390625
22,698.1429443359375
23,769.7672119140625
24,665.5555419921875
25,760.494384765625
26,763.34521484375
27,803.890625
28,688.5526733398438
29,846.8931884765625
30,768.0557250976562
31,679.5439453125
32,679.638427734375
33,846.6527099609375
34,689.7006225585938
35,518.8185424804688
36,645.2450561523438
37,539.0715942382812
38,832.8541259765625
39,657.9456787109375
40,817.5267944335938
41,750.5377197265625
42,708.0398559570312
43,496.6669616699219
44,825.974853515625
45,727.11962890625
46,584.4931030273438
47,605.3836669921875
48,774.7806396484375
49,597.5958251953125
50,541.5795288085938
51,794.6952514648438
52,686.988525390625
53,757.802490234375
54,654.3417358398438
55,747.9971923828125
56,749.5823974609375
57,790.031494140625
58,676.31787109375
59,831.6265258789062
60,755.3388671875
61,666.61376953125
62,667.5855712890625
63,831.7697143554688
64,678.0604248046875
65,509.35430908203125
66,633.93017578125
67,529.962646484375
68,818.389892578125
69,645.721435546875
70,802.6322631835938
71,737.1275634765625
72,695.100341796875
73,487.107177734375
74,810.9042358398438
75,714.1719360351562
76,574.3677368164062
77,593.9367065429688
78,760.708740234375
79,586.721923828125
80,531.8050537109375
81,780.327880859375
82,674.67138671875
83,744.5968627929688
84,641.9850463867188
85,734.20166015625
86,734.399169921875
87,774.7418212890625
88,662.836669921875
89,814.7859497070312
90,741.3251953125
91,652.389892578125
92,654.3280029296875
93,815.3853759765625
94,665.270263671875
95,498.95574951171875
96,621.5052490234375
97,519.9702758789062
98,802.494873046875
99,632.310546875
100,786.2884521484375
101,722.4224243164062
102,680.9060668945312
103,476.6536865234375
104,794.3973388671875
105,699.9947509765625
106,563.2843017578125
107,581.4175415039062
108,745.3148803710938
109,574.8507080078125
110,521.1253051757812
111,764.6067504882812
112,661.2203979492188
113,730.182861328125
114,628.5220336914062
115,719.1416625976562
116,717.8353271484375
117,758.060546875
118,648.1485595703125
119,796.4136962890625
120,726.0533447265625
121,636.9188842773438
122,639.9068603515625
123,797.5452880859375
124,651.3717651367188
125,487.6566467285156
126,608.0099487304688
127,509.12847900390625
128,785.2123413085938
129,617.7554321289062
130,768.5444946289062
131,706.4661865234375
132,665.4962158203125
133,465.34515380859375
134,776.5029907226562
135,684.629638671875
136,551.275146484375
137,567.8655395507812
138,728.6425170898438
139,562.0219116210938
140,509.57244873046875
141,747.56982421875
142,646.6739501953125
143,714.601318359375
144,613.9967651367188
145,702.8564453125
146,699.9351196289062
147,740.0299682617188
148,632.2947998046875
149,776.552734375
150,709.5619506835938
151,620.248291015625
152,624.3624877929688
153,778.2939453125
154,636.4049072265625
155,475.48895263671875
156,593.4815673828125
157,497.4693603515625
158,766.5819091796875
159,602.09521484375
160,749.446044921875
161,689.298583984375
162,648.9061889648438
163,453.2181396484375
164,757.2655639648438
165,668.114501953125
166,538.3690795898438
167,553.3171997070312
168,710.7304077148438
169,548.2724609375
170,497.17578125
171,729.25048828125
172,631.0668334960938
173,697.8896484375
174,598.4500122070312
175,685.3817138671875
176,680.7395629882812
177,720.6893310546875
178,615.31494140625
179,755.2442016601562
180,691.8887939453125
181,602.4263916015625
182,607.735107421875
183,757.6767578125
184,620.411376953125
185,462.4863586425781
186,577.959716796875
187,485.02734375
188,746.646240234375
189,585.3727416992188
190,729.045166015625
191,670.9640502929688
192,631.1768188476562
193,440.31512451171875
194,736.737060546875
195,650.494384765625
196,524.6014404296875
197,537.818115234375
198,691.6276245117188
199,533.648193359375
200,483.9732360839844
201,709.6959838867188
202,614.4453735351562
203,680.0985107421875
204,581.93505859375
205,666.768310546875
206,660.30712890625
207,700.0958251953125
208,597.2650146484375
209,732.5506591796875
210,673.089111328125
211,583.521240234375
212,590.0808715820312
213,735.7601928710938
214,603.4482421875
215,448.69476318359375
216,561.4984741210938
217,471.84814453125
218,725.46630859375
219,567.646728515625
220,707.4149169921875
221,651.5234375
222,612.3648681640625
223,426.691162109375
224,714.9876708984375
225,631.8301391601562
226,510.01904296875
227,521.427734375
228,671.3986206054688
229,518.206787109375
230,470.01312255859375
231,688.967529296875
232,596.8681030273438
233,661.290771484375
234,564.516845703125
235,647.0787963867188
236,638.708740234375
237,678.3189086914062
238,578.211181640625
239,708.5468139648438
240,653.22802734375
241,563.6119384765625
242,571.4651489257812
243,712.6213989257812
244,585.5816040039062
245,434.16729736328125
246,544.1600341796875
247,457.9839172363281
248,703.11181640625
249,548.9830322265625
250,684.6358642578125
251,631.0445556640625
252,592.5328979492188
253,412.40631103515625
254,692.0942993164062
255,612.187744140625
256,494.6723327636719
257,504.2096252441406
258,650.11181640625
259,502.01031494140625
260,455.34619140625
261,667.129150390625
262,578.3967895507812
263,641.5327758789062
264,546.2639770507812
265,626.3777465820312
266,616.017578125
267,655.4306030273438
268,558.2224731445312
269,683.30859375
270,632.3722534179688
271,542.78076171875
272,551.9556274414062
273,688.3402099609375
274,566.8801879882812
275,418.95904541015625
276,526.0095825195312
277,443.4892578125
278,679.6552734375
279,529.4508056640625
280,660.793212890625
281,609.5999755859375
282,571.747802734375
283,397.52508544921875
284,668.14111328125
285,591.6400756835938
286,478.616943359375
287,486.2340087890625
288,627.843505859375
289,485.12799072265625
290,440.0296630859375
291,644.2532958984375
292,559.1021118164062
