feature,weight
I1_lin,-0.00000000e+00
I1_exp,-0.00000000e+00
I1_quad_lin,-0.00000000e+00
I1_quad_exp,8.92869771e-01
I2_lin,-0.00000000e+00
I2_exp,2.63827005e-05
I2_quad_lin,1.58146656e+00
I2_quad_exp,1.23285520e+00
I4theta_lin,-0.00000000e+00
I4theta_exp,-0.00000000e+00
I4theta_quad_lin,2.08234280e-01
I4theta_quad_exp,-0.00000000e+00
I4z_lin,3.05164665e-01
I4z_exp,-0.00000000e+00
I4z_quad_lin,-0.00000000e+00
I4z_quad_exp,-0.00000000e+00
I4a_lin,1.25364382e-02
I4a_exp,7.58989692e-01
I4a_quad_lin,1.92274022e+00
I4a_quad_exp,5.34169674e-01
I4b_lin,1.26688331e-02
I4b_exp,7.86669016e-01
I4b_quad_lin,1.85585666e+00
I4b_quad_exp,5.34855425e-01
