epoch,loss,loss_theta,loss_z
1,674.6317677815755,211.7215372721354,468.9723704020182
2,569.2640452067058,175.44536717732748,399.41608072916665
3,433.9726979573568,130.1087542215983,308.7535797119141
4,288.0123565673828,85.52940152486165,205.9490168253581
5,169.55954259236654,60.956898244222,109.01636276245117
6,117.24285532633463,61.167773183186846,53.21422341664632
7,86.89728546142578,48.3482744216919,35.82406193415324
8,64.41116600036621,34.296081733703616,28.30542402267456
9,52.45080833435058,24.85839055379232,26.632658418019613
10,47.205264472961424,20.257817776997886,26.44551944732666
11,45.0742514928182,18.313056850433348,26.4619047164917
12,44.18224684397379,17.581223487854004,26.372390874226888
13,43.684044138590494,17.335575326283774,26.13107827504476
14,43.29610589345296,17.308545716603597,25.75019734700521
15,42.944246737162274,17.384512631098428,25.286827023824056
16,42.61067091623942,17.503178946177165,24.79290459950765
17,42.29204762776693,17.64578545888265,24.286880620320638
18,41.98743877410889,17.803944412867228,23.777887376149497
19,41.70050328572591,17.974666118621826,23.273356246948243
20,41.43409468332926,18.152999305725096,22.781863530476887
21,41.1872142791748,18.3352489789327,22.306610520680746
22,40.96426792144776,18.509822352727255,21.865926520029703
23,40.767533683776854,18.6707559744517,21.468797556559245
24,40.5948237101237,18.812111536661785,21.11974309285482
25,40.44399356842041,18.93185958862305,20.819129753112794
26,40.310485712687175,19.0329132715861,20.558529822031655
27,40.195695877075195,19.118802309036255,20.335928662618002
28,40.093362172444664,19.177409585316976,20.15810931523641
29,39.99994004567464,19.204562600453695,20.02645673751831
30,39.910522333780925,19.213923517862955,19.919608243306477
31,39.8252903620402,19.22210105260213,19.81852280298869
32,39.74372495015462,19.230445384979248,19.72108243306478
33,39.664495849609374,19.23492301305135,19.630581029256184
34,39.58774992624919,19.235733540852866,19.547017574310303
35,39.51303246815999,19.232883977890015,19.46988763809204
36,39.44069881439209,19.227833541234336,19.397885862986247
37,39.37061373392741,19.221073961257936,19.330293369293212
38,39.30261077880859,19.212716420491535,19.266766293843588
39,39.23685550689697,19.203084850311278,19.207141399383545
40,39.17435785929362,19.190262826283774,19.15479653676351
41,39.113677978515625,19.169385131200155,19.113799317677817
42,39.05493456522624,19.145232566197713,19.078747431437176
43,38.99825528462728,19.121078332265217,19.04592638015747
44,38.94339911142985,19.097341092427573,19.014536348978677
45,38.8900982538859,19.073789501190184,18.98458258310954
46,38.83819179534912,19.050352255503338,18.955990568796793
47,38.78763898213705,19.02718521753947,18.928514671325683
48,38.738400840759276,19.00449423789978,18.901891009012857
49,38.69040902455648,18.982426595687866,18.875897216796876
50,38.64362258911133,18.960894838968912,18.85055300394694
51,38.598005803426105,18.939938497543334,18.825784079233806
52,38.5535026550293,18.919574642181395,18.80154358545939
53,38.51010882059733,18.89980762799581,18.77777156829834
54,38.46779855092367,18.880643781026205,18.754463481903077
55,38.42644430796305,18.861956946055095,18.731631787618003
56,38.38617858886719,18.843810272216796,18.709323914845786
57,38.34712842305501,18.82651840845744,18.687316099802654
58,38.309433682759604,18.80999533335368,18.665848064422608
59,38.27270609537761,18.794242970148723,18.644458738962808
60,38.23672726949056,18.778408781687418,18.62392562230428
61,38.20155582427979,18.762226231892903,18.60464162826538
