feature,weight
I1_lin,1.09193945e+00
I1_exp,5.47291100e-01
I1_quad_lin,1.09193945e+00
I1_quad_exp,1.25970507e+00
I2_lin,3.57156426e-01
I2_exp,3.35107327e-01
I2_quad_lin,1.09944105e-01
I2_quad_exp,2.09753029e-02
I4theta_lin,9.11798179e-02
I4theta_exp,-0.00000000e+00
I4theta_quad_lin,-0.00000000e+00
I4theta_quad_exp,1.43153220e-01
I4z_lin,-0.00000000e+00
I4z_exp,8.10433924e-02
I4z_quad_lin,4.70852166e-01
I4z_quad_exp,-0.00000000e+00
I4a_lin,-0.00000000e+00
I4a_exp,9.22048330e-01
I4a_quad_lin,8.75459868e-04
I4a_quad_exp,3.03368717e-01
I4b_lin,1.26242244e+00
I4b_exp,5.50620317e-01
I4b_quad_lin,1.40174437e+00
I4b_quad_exp,4.32042956e-01
